city,city_raw,condition_id,question,target_date,fetched_at,days_ahead,forecast_mu,forecast_sigma,forecast_nu,sigma_boost,sigma_source,forecast_prob,market_prob,market_prob_raw,edge,abs_edge,bet_side,our_prob,their_prob,ema_momentum,total_drift,last_delta,forecast_var,volume_recency,market_mkt_mom,hours_since_move,is_stale,pmf_consistency,pmf_sum_dev,liquidity,volume_24h,n_exact_bins,market_mode_c,mode_shift_c,alpha_score,kelly,ev_per_dollar,group_key,bin_temp_c
HongKong,hong_kong,0x1d4be76f1766dbcbf24500de2337cf283805b84fddefc73d777843b6fa62173c,Will the highest temperature in Hong Kong be 27°C on March 26?,2026-03-26,2026-03-24 06:05:31.829158+00:00,1.75,25.7,1.2,8.0,0.0,nwp_table,0.1759,0.6509,0.32,-0.1441,0.1441,No,0.8241,0.68,-0.3032,0.2,-0.4,0.6051,1.0,0.0,0.0,False,1.0,0.5945,1091.7886,710.9782710000001,4,27.0,-1.3,0.092443,0.11257812500000003,0.212,hong_kong|2026-03-26,25.7
HongKong,hong_kong,0x32e6477db604436c7df167601743433959734d90991bafc17871607a04fdcea4,Will the highest temperature in Hong Kong be 28°C or higher on March 19?,2026-03-20,2026-03-17 23:13:55.703439+00:00,2.03,24.0,1.6,6.5,0.0,nwp_table,0.0339,0.275,0.275,-0.2411,0.2411,No,0.9661,0.725,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,0.725,0.9185,664.5732,955.575792,2,22.0,2.0,0.098234,0.12,0.3325,hong_kong|2026-03-20,24.0
HongKong,hong_kong,0x32e6477db604436c7df167601743433959734d90991bafc17871607a04fdcea4,Will the highest temperature in Hong Kong be 28°C or higher on March 19?,2026-03-20,2026-03-17 23:24:12.242882+00:00,2.02,24.0,1.6,6.5,0.0,nwp_table,0.0339,0.29,0.29,-0.2561,0.2561,No,0.9661,0.71,0.0,0.0,0.0,0.0,0.883,0.015,0.0,False,0.71,0.916,535.8606,843.955792,2,22.0,2.0,0.101851,0.12,0.3607,hong_kong|2026-03-20,24.0
HongKong,hong_kong,0x7f25bd946c51904191ae4b698dfcc39ba9db84fbdf445b85bbd87484abe34a8f,Will the highest temperature in Hong Kong be 25°C on March 21?,2026-03-21,2026-03-20 06:05:33.843487+00:00,0.75,25.0,0.7,12.0,0.0,nwp_table,0.5113,0.3025,0.315,0.1963,0.1963,Yes,0.5113,0.315,-0.1344,-1.3,0.2,0.4046,0.709,0.0,0.0,False,1.0,0.203,848.5597,626.403672,5,24.0,1.0,0.135887,0.07164233576642334,0.6231,hong_kong|2026-03-21,25.0
HongKong,hong_kong,0xf4ad571f6354c6f9483f9dfe7dc575ff3ae899d5d9efe3a295fbdd06b160e95c,Will the highest temperature in Hong Kong be 24°C on March 21?,2026-03-21,2026-03-20 06:05:33.843487+00:00,0.75,25.0,0.7,12.0,0.0,nwp_table,0.2177,0.4225,0.44,-0.2223,0.2223,No,0.7823,0.56,-0.1344,-1.3,0.2,0.4046,0.785,0.155,0.0,False,1.0,0.203,628.1691,687.739377,5,24.0,1.0,0.14795,0.12,0.397,hong_kong|2026-03-21,25.0
HongKong,hong_kong,0x97bd1cca9545b176662180fd4a91309b69b7107747ea6eed3b71eb4713e20b73,Will the highest temperature in Hong Kong be 27°C or higher on March 22?,2026-03-22,2026-03-20 12:05:35.063139+00:00,1.5,26.1,1.2,8.0,0.0,nwp_table,0.3737,0.095,0.095,0.2787,0.2787,Yes,0.3737,0.095,0.1324,0.6,-0.2,0.1682,0.846,-0.03,0.0,False,0.9505,0.7605,850.2363,675.2286690000002,3,26.0,0.1,0.145853,0.07698895027624308,2.934,hong_kong|2026-03-22,26.1
HongKong,hong_kong,0x95960b598b35ff0a2b08f51978c47d9585fcd9b024e4a77a383e524d5ed4853c,Will the highest temperature in Hong Kong be 28°C or higher on March 23?,2026-03-23,2026-03-20 18:05:38.345283+00:00,2.25,27.1,1.622,6.5,0.022,nwp_table,0.4064,0.275,0.275,0.1314,0.1314,Yes,0.4064,0.275,0.0512,0.3,0.2,0.0388,1.0,0.0,0.0,False,0.8552,0.645,563.7046,80.0,2,27.0,0.1,0.048018,0.04531034482758621,0.4778,hong_kong|2026-03-23,27.1
HongKong,hong_kong,0x8763aa397350972f341ba7f476414f34a83f26dee5e8c5ee7949b647bf71da2d,Will the highest temperature in Hong Kong be 28°C or higher on March 25?,2026-03-25,2026-03-24 06:05:31.829145+00:00,0.75,28.9,0.753,12.0,0.053,nwp_table,0.9562,0.71,0.71,0.2462,0.2462,Yes,0.9562,0.71,0.5186,3.8,1.1,1.2089,0.915,0.0,0.0,False,0.0,0.983,952.2826,625.844297,1,23.0,5.9,0.261902,0.12,0.3467,hong_kong|2026-03-25,28.9
HongKong,hong_kong,0xf1ec7947fe462b705dde3f0e06e45aeab35e52938b602335003a4d484223005a,Will the highest temperature in Hong Kong be 27°C on March 18?,2026-03-19,2026-03-17 23:24:12.242868+00:00,1.02,27.4,1.25,8.0,0.05,nwp_table,0.2849,0.3068,0.21,0.0749,0.0749,Yes,0.2849,0.21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,1.0,0.785,899.6716,701.053515,2,27.0,0.4,0.052846,0.023702531645569607,0.3566,hong_kong|2026-03-19,27.4
London,london,0x57ffd9022bb895deb91f1c2abb79fdd704272256a80326f31d9dfbacd0485354,Will the highest temperature in London be 13°C on March 27?,2026-03-27,2026-03-24 18:02:05.558360+00:00,2.25,12.0,1.6,6.5,0.0,nwp_table,0.1912,0.576,0.33,-0.1388,0.1388,No,0.8088,0.67,0.5875,4.2,-1.0,2.8248,0.835,0.0,0.0,False,1.0,0.652,1767.3075,644.681362,2,13.0,-1.0,0.042352,0.1051515151515151,0.2071,london|2026-03-27,12.0
