fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,outcome_probs_json,clob_token_ids_json,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100
2026-08-11T07:38:49.800654+00:00,London,0xd7b56705e662ea37c7ed80d38aa8ec00b14de7e50cc1704854dcbfa8fb5cb59d,Will the lowest temperature in London be 22°C on August 13?,True,False,2026-08-13,2026-08-11,60.12,60.12,1279.3195,,"{""Yes"": 0.045, ""No"": 0.955}","[""2510443227801682580513219276568939627813335281308467434719526099265437217759"", ""55320109915900240092307129151603555199923328670162931490576979392857176464561""]",1786433897195,0.01,0.9,0.1,0.99,14251.88,11.56,0.205307,
2026-08-11T07:38:49.800665+00:00,London,0x16fd981f88c56282a6316ebf4b0515448a6453fd1ed7caf97af24bcf3eae9f8b,Will the lowest temperature in London be 23°C on August 13?,True,False,2026-08-13,2026-08-11,59.210499999999996,59.210499999999996,1663.94377,,"{""Yes"": 0.037, ""No"": 0.963}","[""1893394028267434451004799506834402596673314429240786964189605008102588402199"", ""59513836391173600726407757861691321099344764876850200254594110444644257375129""]",1786434159817,0.006,0.931,0.069,0.994,28428.32,490.64,0.153174,0.996202
2026-08-11T07:38:49.800674+00:00,London,0x01d3d9b7038bc10d25799a72a41c51bb45f1319b99613120ada6e5d852aeabd7,Will the lowest temperature in London be 24°C or higher on August 13?,True,False,2026-08-13,2026-08-11,12.0,12.0,1228.5679,,"{""Yes"": 0.015, ""No"": 0.985}","[""51119933324115388225913223673626288194200439885647343545679285494451420998165"", ""21263452520268655648911352809677597658541422432723427764557150340706571468139""]",1786434159827,,0.97,0.03,,2817.18,0.0,0.131335,
2026-08-11T07:38:49.800684+00:00,London,0x556a6c424f4b57614fb50743fd3b22209780ba13e6519cf575a2ce4517701616,Will the highest temperature in London be 30°C or below on August 13?,True,False,2026-08-13,2026-08-11,836.0,848.0,2094.35112,,"{""Yes"": 0.0045, ""No"": 0.9955}","[""76335625500993011887931154369903769383944060546257639897487131545621381693398"", ""111181160608462082755540867522505402619569798319937803776015710240860147097973""]",1786434203628,0.002,0.995,0.005,0.998,14997.51,1306.68,0.094952,0.99886
2026-08-11T07:38:49.800693+00:00,London,0x6a16551559f7558a9c116aa1445359cacd254039efa9ab73f92e9569d4116d01,Will the highest temperature in London be 31°C on August 13?,True,False,2026-08-13,2026-08-11,700.0,712.0,2573.50087,,"{""Yes"": 0.0055, ""No"": 0.9945}","[""77361158867606303639648376001928249626364370440285376439297982553633041133655"", ""113270951938442195899646823456665827608091601487838138520923839455941750888943""]",1786434140211,0.001,0.991,0.009,0.999,29072.25,1099.9,0.080713,0.999
2026-08-11T07:38:49.800703+00:00,London,0xd2811624bc3acab110c9373d7d949518b97d581e1da093c32b70f1db19b3554b,Will the highest temperature in London be 32°C on August 13?,True,False,2026-08-13,2026-08-11,124.0,136.0,1164.3143,,"{""Yes"": 0.025, ""No"": 0.975}","[""109999215574949310100782621931629862160306741032494858612105057182488748001833"", ""77800575655328377214991533780864562055724563689903974115164821127617140791937""]",1786434213316,,0.95,0.05,,12929.66,0.0,0.237278,
2026-08-11T07:38:49.800713+00:00,London,0x1b91e4d4eb082fb84ab4888f39bc495f6b55b3e4da55d987f0065c980cb6c6e8,Will the highest temperature in London be 33°C on August 13?,True,False,2026-08-13,2026-08-11,111.95956600000001,111.959566,998.7319,,"{""Yes"": 0.08, ""No"": 0.92}","[""86572719138463421022480143309383404606842013499065971171483770752874155486037"", ""95265147554792190758575463566961690889323709729826635150780986983810107873360""]",1786434214358,0.05,0.91,0.09,0.95,12679.18,675.25,0.298705,0.966224
2026-08-11T07:38:49.800723+00:00,London,0x5cc458179be149f319dab95e2274163bb32b3c4d98c000139666a76c3b37bac2,Will the highest temperature in London be 34°C on August 13?,True,False,2026-08-13,2026-08-11,37.132429,37.132429,1277.282,,"{""Yes"": 0.12, ""No"": 0.88}","[""2682034404499742617138480044828057751011349540086074682497927334570030876432"", ""40815311388176044669396470509898499053042132304861022896947227524301340343170""]",1786434213532,0.09,0.88,0.12,0.91,13267.79,1600.93,0.29816,0.913829
2026-08-11T07:38:49.800732+00:00,London,0x1a1542d3f9ceb4192b83827ca7e93a2953a97e0d41bb4601da136a4a02c54552,Will the highest temperature in London be 35°C on August 13?,True,False,2026-08-13,2026-08-11,68.753143,68.753143,2078.3145,,"{""Yes"": 0.245, ""No"": 0.755}","[""8620642113559895709163847628273413079422176663718071883058620723503334081607"", ""72226181761182861849099177771904924360243258963069600422294804447744645472203""]",1786434214017,0.23,0.75,0.25,0.77,15416.87,4280.16,0.265252,0.779532
2026-08-11T07:38:49.800742+00:00,London,0xdab3df1ea91d7d14076e3c266f396e3a64a4853d569b99c843c6aa11772ddb1b,Will the highest temperature in London be 36°C on August 13?,True,False,2026-08-13,2026-08-11,185.0367,186.14781000000002,2216.0895,,"{""Yes"": 0.365, ""No"": 0.635}","[""14954805384669011331475504262999008797793301898887068364603544599622519827054"", ""31753704292237180292155527286750193201428596884108168665310998921122939703448""]",1786434214309,0.35,0.64,0.36,0.65,15885.44,5436.12,0.370791,0.65
2026-08-11T07:38:49.800751+00:00,London,0x7e2232d32050a74542a31cf1cdee1d0efa43724e6e0c97238580c642f92f5755,Will the highest temperature in London be 37°C on August 13?,True,False,2026-08-13,2026-08-11,36.807486,37.871302,1309.0134,,"{""Yes"": 0.145, ""No"": 0.855}","[""77961364388061639564125793448570273972763137768001073516973169308976666003076"", ""89710441371676565260567348510783782661238219051342421984399717724420390670700""]",1786434214173,0.13,0.84,0.16,0.87,15026.43,2865.51,0.277143,0.873395
