fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,outcome_probs_json,clob_token_ids_json
2026-03-20T18:01:02.993217+00:00,Seoul,0x0c04a4ddcc83d03961ccc3773c7ee6224f764a78daa6285d2ad658abfb098c89,Will the highest temperature in Seoul be 13°C on March 23?,True,False,2026-03-23,2026-03-19,963.399852,766.385588,1248.3023,,"{""Yes"": 0.165, ""No"": 0.835}",[]
2026-03-20T18:01:02.993269+00:00,Seoul,0x7fda9f350653a2ad7cb568a5c51311d5c258367ee64bd31f4b3e64107f343c15,Will the highest temperature in Seoul be 10°C on March 21?,True,False,2026-03-21,2026-03-17,8849.975020000007,7005.042804,782.6415,,"{""Yes"": 0.205, ""No"": 0.795}",[]
2026-03-20T18:01:02.993294+00:00,Seoul,0x76a50402bde5c01981295fedbfaaf121037af3145fd376f78631d4ade0244cc2,Will the highest temperature in Seoul be 4°C or below on March 21?,True,False,2026-03-21,2026-03-17,8550.542461000003,5548.540662,3614.00228,,"{""Yes"": 0.0005, ""No"": 0.9995}",[]
2026-03-20T18:01:02.993314+00:00,Seoul,0xa2270ab597b2538c0c774f3d22ced55dc78c35c6a256fe70f512650ce1f6c529,Will the highest temperature in Seoul be 8°C on March 24?,True,False,2026-03-24,2026-03-20,82.49000000000001,82.49000000000001,1024.1312,,"{""Yes"": 0.0655, ""No"": 0.9345}",[]
2026-03-20T18:01:02.993333+00:00,Seoul,0xed74085b44c46f9b4000f6d61388d86c60df28c27894fd51b983ea18223be444,Will the highest temperature in Seoul be 10°C on March 24?,True,False,2026-03-24,2026-03-20,80.0,80.0,921.5294,,"{""Yes"": 0.07, ""No"": 0.93}",[]
2026-03-20T18:01:02.993352+00:00,Seoul,0xfd9dd52a3f938d014019d410924464c0d2dd5f435e30a27d5fc8aac574e670d1,Will the highest temperature in Seoul be 5°C on March 21?,True,False,2026-03-21,2026-03-17,7751.367947999999,4984.299099999999,1633.80325,,"{""Yes"": 0.0015, ""No"": 0.9985}",[]
2026-03-20T18:01:02.993367+00:00,Seoul,0x1ec0a3d14dea60844fd52a877bb186a2fb3421e9c682d797254b68ca918f5341,Will the highest temperature in Seoul be 14°C or higher on March 22?,True,False,2026-03-22,2026-03-18,7644.917351999998,4962.367699,3623.2227,,"{""Yes"": 0.39, ""No"": 0.61}",[]
2026-03-20T18:01:02.993384+00:00,Seoul,0xb892706d8b722142e5545305b6971debba1a97ec0480a6f7dbcbb690d20f1e32,Will the highest temperature in Seoul be 13°C on March 21?,True,False,2026-03-21,2026-03-17,6904.826584999996,4950.385356000001,682.11353,,"{""Yes"": 0.0925, ""No"": 0.9075}",[]
2026-03-20T18:01:02.993399+00:00,Seoul,0xe2a197f96a5ead788676a70599176e3819890c8b177393164601997071d580c6,Will the highest temperature in Seoul be 6°C on March 21?,True,False,2026-03-21,2026-03-17,6869.834354999995,3535.622178,781.34634,,"{""Yes"": 0.003, ""No"": 0.997}",[]
2026-03-21T06:01:02.575598+00:00,Seoul,0x9297d7e52a2b62b37981011969c8d7b7229e8924a24200634e967aac7d75dddc,Will the highest temperature in Seoul be 10°C on March 22?,True,False,2026-03-22,2026-03-18,8462.542686999997,6726.489846999997,3516.83707,,"{""Yes"": 0.0135, ""No"": 0.9865}",[]
2026-03-21T06:01:02.575623+00:00,Seoul,0x997d15131431909ef5165618bce65c081a00a7e9e1676254397c8d7e8e644626,Will the highest temperature in Seoul be 12°C on March 22?,True,False,2026-03-22,2026-03-18,8119.353728000004,4547.467447999998,2231.9659,,"{""Yes"": 0.085, ""No"": 0.915}",[]
2026-03-21T06:01:02.575633+00:00,Seoul,0xf3a94481567220c785ccd8921991e9aa5d460469b60f02d610bb3e22ced13d63,Will the highest temperature in Seoul be 11°C on March 22?,True,False,2026-03-22,2026-03-18,7836.674140000001,4906.534828,3287.30328,,"{""Yes"": 0.0505, ""No"": 0.9495}",[]
2026-03-21T06:01:02.575641+00:00,Seoul,0x7fda9f350653a2ad7cb568a5c51311d5c258367ee64bd31f4b3e64107f343c15,Will the highest temperature in Seoul be 10°C on March 21?,True,False,2026-03-21,2026-03-17,77756.99612600003,73194.682146,30622.62001,,"{""Yes"": 0.0005, ""No"": 0.9995}",[]
2026-03-21T06:01:02.575649+00:00,Seoul,0xb50fd0e8569928782e0320442abd2f54bc84a08f080c51099709eac8719f9dcc,Will the highest temperature in Seoul be 12°C on March 24?,True,False,2026-03-24,2026-03-20,71.820367,71.820367,779.7957,,"{""Yes"": 0.17, ""No"": 0.83}",[]
