fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-08-04T21:41:54.284258+00:00,San Francisco,0x482ce0b48ff041cb65f932225bf5333aeee56ed7ca17559987ef25599291478c,Will the highest temperature in San Francisco be between 82-83°F on August 4?,True,False,2026-08-04,2026-08-03,3549.9829400000003,2329.6069979999997,2341.98262,,1785879717188,0.001,0.996,0.004,0.999,20307.98,479.4,0.071082,0.999,"{""Yes"": 0.003, ""No"": 0.997}","[""60925648240780026739973710728354552015478190074522271787592019370050670990561"", ""103450144187270862182244353796797090459607804088589764270455956084032184134647""]"
2026-08-04T21:41:54.284266+00:00,San Francisco,0x4fc4c44f1743b72c20567e5f61b98fbc1170fe8c80206794aeb3aef21f581c3f,Will the highest temperature in San Francisco be between 84-85°F on August 4?,True,False,2026-08-04,2026-08-03,4416.7248,3394.4069999999997,2250.38427,,1785879717183,,0.999,0.001,,20655.25,0.0,0.068148,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""16032773290447148897927472802186606225301960538379626888434268122866435580306"", ""50389825783299035643476986706832221979315992527045377945295100022296120940317""]"
2026-08-04T21:41:54.284275+00:00,San Francisco,0xeec006af8a4729866f97c72fff4b814790579edd063b9d938c252048a23e17eb,Will the highest temperature in San Francisco be 86°F or higher on August 4?,True,False,2026-08-04,2026-08-03,2318.835,1999.991,3546.77529,,1785879707185,,0.999,0.001,,11448.03,0.0,0.031545,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""85205032475073080584387339723201448166769305254501381758086564838527234920763"", ""77703523288954554946095371158332874635799563797881603819207784640731337692047""]"
2026-08-04T21:41:54.284284+00:00,San Francisco,0x0a7f54bd6b67dd2fcd8ece2d3a2ebbd4d8e3c8ce44c90d7ef242cba67bc22472,Will the highest temperature in San Francisco be 65°F or below on August 5?,True,False,2026-08-05,2026-08-04,517.959,532.959,4283.0192,,1785879730534,,0.999,0.001,,22321.22,0.0,0.054975,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""32462633747184090137065886483780880881581111525817469770677510693035882838330"", ""83852454908989387412436346687322859851722030623655269671224289050411657271936""]"
2026-08-04T21:41:54.284292+00:00,San Francisco,0x381bcb5279c5b1689ad55758cb3963b2bbb47adce168177156d6cb0805531d2e,Will the highest temperature in San Francisco be between 66-67°F on August 5?,True,False,2026-08-05,2026-08-04,226.305,241.305,3656.14875,,1785879729915,0.002,0.997,0.003,0.998,33122.24,437.08,0.101679,0.998,"{""Yes"": 0.0025, ""No"": 0.9975}","[""77489297188988550686735906932517086920389309377899262602339803892241469480392"", ""95733233437638844759171482048959278189084716126204614668699362264439284486102""]"
2026-08-04T21:41:54.284313+00:00,San Francisco,0x45b1993b9d88a2bd5baf4fa4556854c23c37f503dd1c996cfeaa19d9e3f57ee0,Will the highest temperature in San Francisco be between 68-69°F on August 5?,True,False,2026-08-05,2026-08-04,504.700579,504.700579,4098.8349,,1785879730892,0.03,0.94,0.06,0.97,18830.87,251.24,0.119681,0.975833,"{""Yes"": 0.045, ""No"": 0.955}","[""84289143737097057588067754396600272797463210999059962425052036222849268286541"", ""108102205686554422300830337724430060649883466946474199204974687191254585824174""]"
2026-08-04T21:41:54.284322+00:00,San Francisco,0xfd945e640b8d42ef53affe9033cbe4cd6d9cfa69d87dfcb053e7fd7edceb9611,Will the highest temperature in San Francisco be between 70-71°F on August 5?,True,False,2026-08-05,2026-08-04,1112.616312,1112.6163119999999,3920.383,,1785879720040,0.15,0.83,0.17,0.85,19864.33,5246.51,0.179129,0.862936,"{""Yes"": 0.16, ""No"": 0.84}","[""81488602742439952305654916835215046954314446673233651189567984078494359181256"", ""58992626397427930074045505935927787772708169240666751236647135054034886626383""]"
2026-08-04T21:41:54.284331+00:00,San Francisco,0x7c7ac8eb2a65742ce1a545cdf2964e264748e3597fe8f440acc05435d1733afe,Will the highest temperature in San Francisco be between 72-73°F on August 5?,True,False,2026-08-05,2026-08-04,3077.552226,3077.5522260000002,4314.3084,,1785879729716,0.34,0.64,0.36,0.66,20332.35,5947.17,0.372306,0.664024,"{""Yes"": 0.35, ""No"": 0.65}","[""73153823143791213193530303787094187642945286100343384238562116381806578345939"", ""15637881124085002715409750551620263194723816573836323168390183027278208036287""]"
2026-08-04T21:41:54.284340+00:00,San Francisco,0x2b36d9f9daae3cb63deaa079b3f9c16c793fb860eb870f615de883a9764e0082,Will the highest temperature in San Francisco be between 74-75°F on August 5?,True,False,2026-08-05,2026-08-04,1475.4959450000003,1475.495945,4342.1425,,1785879729644,0.28,0.71,0.29,0.72,18325.85,4759.71,0.295521,0.723438,"{""Yes"": 0.285, ""No"": 0.715}","[""65930157979069513799267190700585525298372685791388122373910689608842265770924"", ""78979218854538774979389237118311820575218284035941242064350314567308827646186""]"
2026-08-04T21:41:54.284348+00:00,San Francisco,0x650bb4769623a3b2ff6b17f4a0facebf64c2bcbd775c069260c9bb2c96e263ba,Will the highest temperature in San Francisco be between 76-77°F on August 5?,True,False,2026-08-05,2026-08-04,894.346587,894.3465870000001,3906.3978,,1785879730803,0.13,0.86,0.14,0.87,19047.01,3741.25,0.188097,0.87,"{""Yes"": 0.135, ""No"": 0.865}","[""13494786474115897647633414307662436632281282764574384215036385241707481084728"", ""113313657241713818706137796330268828543176360319003737390927381418038437588572""]"
